system:index,elevation_m,flood_label,rainfall_mm,river_proximity,slope_deg,.geo
1,405,0,6.591030349954963,1,0.8357756248227847,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,61,0,189.53291300637648,1,0.2811039871624196,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,400,0,320.909426299957,1,0.35920807681525163,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,247,0,178.04607500314296,1,0.033321235250668164,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,137,0,0.16383434925228357,1,0.30125082352483146,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,424,0,326.9435444975461,1,0.4613898525529204,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,360,0,353.8256026571544,1,2.0772072545395055,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,466,0,19.393375609943178,1,0.11375477314654936,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5297,0,75.64799761585891,1,17.437246334838814,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1538,0,235.0248297612149,1,11.068911383499442,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,254,0,65.37881368852081,1,0.043167327683185604,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,42,0,8.870265586767346,1,0.08695220873832954,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,150,0,172.49284628721145,1,0.12996461402864318,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,484,0,0.18145121569978073,1,1.4711813750791012,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,376,0,82.59849577160723,1,0.2500797374097238,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11,0,528.8866276505541,1,0.08465469106798532,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,453,0,76.56249661970651,1,0.6405917832026443,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,120,0,11.189007856759417,1,0.5822407455829047,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,733,0,562.8470106320456,1,2.1789505046836894,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,228,0,0.7488796738907695,1,0.1873087193902181,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2587,0,100.57976189162582,1,16.50409385809429,"{""type"":""MultiPoint"",""coordinates"":[]}"
